"Perno porcelana inyectada",1,"H",239
"Carillas porcelana inyectada",1,"H",240
"Tramo puente porcelana inyectada",1,"H",241
"PREVENCION",0,"T",1000
"Tartrectomia y cepillado",1,"H",77
"Aplicacion de fluor",1,"H",78
"Deteccion de placa bacteriana",1,"H",79
"Sellantes de puntos y fisuras",1,"H",80
"ODONTOPEDIATRIA",0,"T",1000
"Motivacion en niños",1,"H",81
"Trat.con formocresol",1,"H",82
"Instruccion de higiene oral",1,"H",83
"Mantenedor de espacios fijo",1,"H",180
"Mantenedor espacios remov.",1,"H",200
"Tratamiento c/cariostatico",1,"H",261
"TC.Anterior",1,"H",227
"TC.Molar",1,"H",260
"Extraccion temporario movil",1,"H",228
"Extraccion temporario s/reabsorsion",1,"H",229
"PERIODONCIA",0,"T",1000
"Rasp/alis.sup post.Gingivitis",1,"H",84
"Rasp/alis.sup anter.Gingivitis",1,"H",85
"Rasp/alis.inf post.Gingivitis",1,"H",86
"Rasp/alis.inf anter.Gingivitis",1,"H",87
"Rasp/alis.sup post.Periodontitis",1,"H",88
"Rasp/alis.sup anter.Periodontitis",1,"H",89
"Rasp/alis.inf post.Periodontitis",1,"H",90
"Rasp/alis.inf anter.Periodontitis",1,"H",91
"Gingivectomia",1,"H",92
"Gingivoplastia",1,"H",93
"Colgajos",1,"H",94
"Injerto periodontal",1,"H",95
"Cu¤as distales",1,"H",96
"Alargamiento corona clinica",1,"H",97
"Regeneracion guiada",1,"H",98
"Tratamiento con laser periodoncia",1,"H",249
"RADIOLOGIA",0,"T",1000
"Radiografia periapical",1,"H",99
"Radiografia Bitewin",1,"H",100
"Radiografia oclusal 6x8",1,"H",101
"Radiografia media Seriada",1,"H",102
"Radiografia Seriada",1,"H",103
"Radiografia Panor mica",1,"H",104
"Radiografia extraoral",1,"H",105
"Radiografia Temp-mandib.lateral",1,"H",106
"Radiografia Temp-mandib.total",1,"H",107
"Sialografia",1,"H",108
"Tomografia",1,"H",109
"Teleradiografia",1,"H",259
"CIRUGIA",0,"T",1000
"Tratamiento con laser cirugia",1,"H",252
"Extraccion dentaria",1,"H",110
"Extraccion compleja",1,"H",257
"Extraccion resto radicular",1,"H",111
"Extraccion de retenido",1,"H",112
"Extraccion de implante",1,"H",113
"Extraccion supernumerario",1,"H",230
"Apicectomia",1,"H",114
"Frenectomia",1,"H",115
"Regularizacion osea",1,"H",116
"Relleno oseo",1,"H",117
"Radectomia",1,"H",118
"Odontoseccion",1,"H",119
"Reimplante dentario",1,"H",120
"Vestibuloplastia",1,"H",121
"Biopsia",1,"H",122
"Plastica Buco-sinusal",1,"H",123
"Alveolectomia",1,"H",124
"Insicion y drenaje",1,"H",125
"Liberacion de retenido",1,"H",126
"IMPLANTE",0,"T",1000
"Implante radicular/tornillo",1,"H",127
"Lamina simple ",1,"H",128
"Lamina multiple",1,"H",129
"Implante subperiostico parcial",1,"H",130
"Implante subperiostico total",1,"H",131
"ORTODONCIA",0,"T",1000
"Fase 0",1,"H",216
"Fase 0 cuota",1,"H",265
"Fase 1",1,"H",217
"Fase 1 cuota",1,"H",266
"Fase 2",1,"H",218
"Fase 2 cuota",1,"H",267
"Aparatologia inicial",1,"H",276
"Retiro aparatos",1,"H",268
"Placa contencion ",1,"H",273
"Placa relajacion ",1,"H",274
"Reparacion placa",1,"H",269
"Reposicion arcos ",1,"H",270
"Reposicion bandas ",1,"H",271
"Reposicion brackets ",1,"H",272
"Microimplantes ",1,"H",275
"Caries",0,"S",132
"Caries penetrante",0,"S",133
"Fractura coronaria horizontal",0,"S",134
"Fractura coronaria vertical",0,"S",135
"Fract.radicular horiz.apical",0,"S",136
"Fractura radicular vertical",0,"S",137
"Abrasion incisal",0,"S",141
"Abrasion oclusal",0,"S",142
"Abrasion vestibular",0,"S",143
"Anomalia tejido piel labial",0,"S",144
"Anomalia tejido-comisura",0,"S",145
"Anomalia tejido-semimucosa labial",0,"S",146
"Anomalia mucosa labial y yugal",0,"S",147
"Anomalia tejido-surco vestibular",0,"S",148
"Anomalia tejido-paladar duro",0,"S",149
"Anomalia tejido-paladar blando",0,"S",150
"Anomalia tejido-piso de la boca",0,"S",151
"Anomalia tejido-dorso de lengua",0,"S",152
"Anomalia tejido-cara de lengua",0,"S",153
"Anomalia tejido-borde de lengua",0,"S",154
"Anomalia tejido-punta de lengua",0,"S",155
"Ausente",0,"S",156
"Ausente rango",0,"S",157
"Resto radicular",0,"S",158
"Retenida",0,"S",159
"Agenesia",0,"S",160
"Mesializacion",0,"S",161
"A extraer pieza",0,"S",162
"Hiperhemia",0,"S",163
"Pulpitis",0,"S",164
"Necrosis",0,"S",165
"Absceso",0,"S",166
"Granuloma",0,"S",167
"Quiste",0,"S",168
"Duda",0,"S",169
"T.C. por fin protetico",0,"S",170
"T.C. Preexistente",0,"S",171
"Hemorragia",0,"S",172
"Movilidad",0,"S",173
"Lesion furcal",0,"S",174
"Puntos y fisuras",0,"S",175
"Ficha de denticion mixta",0,"S",176
"Avulsionada",0,"S",177
"Erupcionada",0,"S",178
"Pieza en erupcion",0,"S",179
"Fract.radicular horiz.media",0,"S",198
"Fract.radicular horiz.cervical",0,"S",199
"Caries rampante",0,"S",219
"Caries x mamadera",0,"S",220
"Avulsion x traumatismo",0,"S",221
"Intrusion",0,"S",222
"Extrusion",0,"S",223
"Luxacion vestibular",0,"S",224
"Luxacion palatina",0,"S",225
"Periodontitis juvenil",0,"S",242
"Periodontitis avance rapido",0,"S",243
"Periodontitis grave",0,"S",244
"Periodontitis moderada",0,"S",245
"Periodontitis leve",0,"S",246
"Gingivitis",0,"S",247
"Gingivitis necrosante",0,"S",248
